,IATA_CODE,PASS_DEPART,FLIGHT_DEPART
212,MQT,42k,"1,247"
213,MRY,179k,"4,257"
214,MSN,820k,"13,358"
215,MSO,347k,"5,373"
216,MSP,"16,322k","173,000"
217,MSY,"5,274k","50,921"
218,MTJ,102k,"1,881"
219,MVY,49k,"5,377"
220,MYR,890k,"9,828"
221,OAJ,148k,"3,387"
222,OAK,"5,339k","57,427"
223,OGG,"3,048k","39,019"
224,OKC,"1,791k","23,989"
225,OMA,"2,040k","25,685"
226,OME,56k,"9,042"
227,ONT,"2,012k","30,174"
228,ORD,"30,536k","374,320"
229,ORF,"1,511k","23,181"
230,ORH,60k,697
231,OTH,16k,"1,940"
232,OTZ,62k,"11,060"
233,PAH,21k,688
234,PBG,131k,"1,875"
235,PBI,"3,051k","26,094"
236,PDX,"8,029k","86,289"
237,PHF,202k,"4,592"
238,PHL,"13,090k","172,774"
239,PHX,"20,190k","184,848"
240,PIA,315k,"6,942"
241,PIB,10k,623
242,PIH,24k,971
243,PIT,"3,795k","54,946"
244,PLN,25k,"1,089"
245,PNS,787k,"10,962"
246,PPG,24k,116
247,PSC,347k,"5,983"
248,PSE,99k,798
249,PSG,20k,"1,222"
250,PSP,774k,"10,473"
251,PUB,"3,110",349
252,PVD,"1,744k","19,815"
253,PWM,857k,"13,422"
254,RAP,263k,"5,708"
255,RDD,29k,"1,299"
256,RDM,280k,"5,777"
257,RDU,"4,839k","58,484"
258,RHI,21k,"1,544"
259,RIC,"1,734k","27,223"
260,RKS,17k,"1,037"
261,RNO,"1,648k","20,262"
262,ROA,297k,"7,591"
263,ROC,"1,170k","18,462"
264,ROW,35k,"1,382"
265,RST,114k,"2,989"
266,RSW,"3,993k","32,560"
267,SAF,75k,"1,923"
268,SAN,"9,631k","84,399"
269,SAT,"3,831k","42,308"
270,SAV,978k,"14,440"
271,SBA,316k,"7,615"
272,SBN,310k,"6,442"
273,SBP,144k,"4,137"
274,SCC,57k,"2,735"
275,SCE,137k,"4,763"
276,SDF,"1,634k","57,729"
277,SEA,"17,956k","165,517"
278,SFO,"18,784k","168,548"
279,SGF,446k,"8,966"
280,SGU,69k,"2,386"
281,SHV,293k,"8,007"
282,SIT,76k,"2,901"
283,SJC,"4,616k","45,537"
284,SJT,63k,"2,022"
285,SJU,"3,754k","42,514"
286,SLC,"10,342k","115,387"
287,SMF,"4,618k","46,569"
288,SMX,43k,"1,495"
289,SNA,"4,779k","40,814"
290,SPI,89k,"1,893"
291,SPS,44k,"1,383"
292,SRQ,585k,"5,669"
293,STC,19k,203
294,STL,"6,135k","79,892"
295,STT,703k,"12,310"
296,STX,176k,"7,800"
297,SUN,68k,"1,526"
298,SUX,25k,654
299,SWF,141k,"3,044"
300,SYR,974k,"18,250"
301,TLH,329k,"7,278"
302,TOL,89k,"1,344"
303,TPA,"8,822k","76,324"
304,TRI,215k,"4,075"
305,TTN,389k,"3,103"
306,TUL,"1,356k","20,115"
307,TUS,"1,544k","19,406"
308,TVC,209k,"4,557"
309,TWF,34k,"1,299"
310,TXK,35k,"1,033"
311,TYR,72k,"2,448"
312,TYS,842k,"17,625"
313,UST,22k,279
314,VEL,"1,255",201
315,VLD,40k,"1,021"
316,VPS,373k,"6,262"
317,WRG,13k,"1,039"
318,WYS,"7,796",208
319,XNA,627k,"12,389"
320,YAK,10k,975
321,YUM,75k,"2,051"
